Company Name,Industry,Symbol,Series,ISIN Code,Fetch_Time
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,2026-07-08 11:05:59 IST
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,2026-07-08 11:05:59 IST
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,2026-07-08 11:05:59 IST
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,2026-07-08 11:05:59 IST
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,2026-07-08 11:05:59 IST
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,2026-07-08 11:05:59 IST
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,2026-07-08 11:05:59 IST
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,2026-07-08 11:05:59 IST
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,2026-07-08 11:05:59 IST
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,2026-07-08 11:05:59 IST
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,2026-07-08 11:05:59 IST
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,2026-07-08 11:05:59 IST
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,2026-07-08 11:05:59 IST
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,2026-07-08 11:05:59 IST
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,2026-07-08 11:05:59 IST
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,2026-07-08 11:05:59 IST
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,2026-07-08 11:05:59 IST
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,2026-07-08 11:05:59 IST
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,2026-07-08 11:05:59 IST
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,2026-07-08 11:05:59 IST
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,2026-07-08 11:05:59 IST
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,2026-07-08 11:05:59 IST
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,2026-07-08 11:05:59 IST
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,2026-07-08 11:05:59 IST
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,2026-07-08 11:05:59 IST
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,2026-07-08 11:05:59 IST
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,2026-07-08 11:05:59 IST
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,2026-07-08 11:05:59 IST
