Company Name,Industry,Symbol,Series,ISIN Code,Fetch_Time
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,2026-07-22 02:10:57 IST
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,2026-07-22 02:10:57 IST
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,2026-07-22 02:10:57 IST
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,2026-07-22 02:10:57 IST
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,2026-07-22 02:10:57 IST
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,2026-07-22 02:10:57 IST
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,2026-07-22 02:10:57 IST
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,2026-07-22 02:10:57 IST
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,2026-07-22 02:10:57 IST
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,2026-07-22 02:10:57 IST
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,2026-07-22 02:10:57 IST
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,2026-07-22 02:10:57 IST
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,2026-07-22 02:10:57 IST
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,2026-07-22 02:10:57 IST
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,EQ,INE0HOQ01053,2026-07-22 02:10:57 IST
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,2026-07-22 02:10:57 IST
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,2026-07-22 02:10:57 IST
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,2026-07-22 02:10:57 IST
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,2026-07-22 02:10:57 IST
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,2026-07-22 02:10:57 IST
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,2026-07-22 02:10:57 IST
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,2026-07-22 02:10:57 IST
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,2026-07-22 02:10:57 IST
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,2026-07-22 02:10:57 IST
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,2026-07-22 02:10:57 IST
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,2026-07-22 02:10:57 IST
