Company Name,Industry,Symbol,Series,ISIN Code,Fetch_Time
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,2026-07-19 09:32:36 IST
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,2026-07-19 09:32:36 IST
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,2026-07-19 09:32:36 IST
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,2026-07-19 09:32:36 IST
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,2026-07-19 09:32:36 IST
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,2026-07-19 09:32:36 IST
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,2026-07-19 09:32:36 IST
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,2026-07-19 09:32:36 IST
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,2026-07-19 09:32:36 IST
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,2026-07-19 09:32:36 IST
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,2026-07-19 09:32:36 IST
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,2026-07-19 09:32:36 IST
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,2026-07-19 09:32:36 IST
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,2026-07-19 09:32:36 IST
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,2026-07-19 09:32:36 IST
DLF Ltd.,Realty,DLF,EQ,INE271C01023,2026-07-19 09:32:36 IST
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,2026-07-19 09:32:36 IST
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,2026-07-19 09:32:36 IST
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,2026-07-19 09:32:36 IST
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,2026-07-19 09:32:36 IST
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,2026-07-19 09:32:36 IST
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,2026-07-19 09:32:36 IST
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,2026-07-19 09:32:36 IST
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,2026-07-19 09:32:36 IST
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,2026-07-19 09:32:36 IST
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,2026-07-19 09:32:36 IST
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,2026-07-19 09:32:36 IST
LTM Ltd.,Information Technology,LTM,EQ,INE214T01019,2026-07-19 09:32:36 IST
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,2026-07-19 09:32:36 IST
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,2026-07-19 09:32:36 IST
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,2026-07-19 09:32:36 IST
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,2026-07-19 09:32:36 IST
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,2026-07-19 09:32:36 IST
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,2026-07-19 09:32:36 IST
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,2026-07-19 09:32:36 IST
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,2026-07-19 09:32:36 IST
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,2026-07-19 09:32:36 IST
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,2026-07-19 09:32:36 IST
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,2026-07-19 09:32:36 IST
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,2026-07-19 09:32:36 IST
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,2026-07-19 09:32:36 IST
Tata Capital Ltd.,Financial Services,TATACAP,EQ,INE976I01016,2026-07-19 09:32:36 IST
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010,2026-07-19 09:32:36 IST
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,2026-07-19 09:32:36 IST
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,2026-07-19 09:32:36 IST
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,2026-07-19 09:32:36 IST
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,2026-07-19 09:32:36 IST
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,2026-07-19 09:32:36 IST
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,2026-07-19 09:32:36 IST
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,2026-07-19 09:32:36 IST
